Counted to 0 in 1,027 ns: inf ns/iter
Counted to 100 in 693 ns: 6.930000 ns/iter
Counted to 200 in 819 ns: 4.095000 ns/iter
Counted to 300 in 745 ns: 2.483333 ns/iter
Counted to 400 in 880 ns: 2.200000 ns/iter
Counted to 500 in 1,008 ns: 2.016000 ns/iter
Counted to 600 in 1,160 ns: 1.933333 ns/iter
Counted to 700 in 1,073 ns: 1.532857 ns/iter
Counted to 800 in 1,258 ns: 1.572500 ns/iter
Counted to 900 in 1,521 ns: 1.690000 ns/iter
Counted to 700 in 2,637 ns: 3.767143 ns/iter
Counted to 800 in 2,188 ns: 2.735000 ns/iter
Counted to 900 in 1,801 ns: 2.001111 ns/iter
Counted to 1,000 in 3,435 ns: 3.435000 ns/iter
Counted to 1,100 in 2,215 ns: 2.013636 ns/iter
Counted to 1,200 in 1,603 ns: 1.335833 ns/iter
Counted to 1,300 in 3,029 ns: 2.330000 ns/iter
Counted to 1,400 in 3,312 ns: 2.365714 ns/iter
Counted to 1,500 in 3,050 ns: 2.033333 ns/iter
Counted to 1,600 in 3,171 ns: 1.981875 ns/iter
Counted to 1,700 in 3,527 ns: 2.074706 ns/iter
Counted to 1,800 in 5,657 ns: 3.142778 ns/iter
Counted to 1,900 in 4,375 ns: 2.302632 ns/iter
Counted to 2,000 in 4,498 ns: 2.249000 ns/iter
Counted to 2,100 in 2,708 ns: 1.289524 ns/iter
Counted to 2,200 in 2,370 ns: 1.077273 ns/iter
Counted to 2,300 in 2,861 ns: 1.243913 ns/iter
Counted to 2,400 in 2,659 ns: 1.107917 ns/iter
Counted to 2,500 in 7,174 ns: 2.869600 ns/iter
Counted to 2,600 in 6,658 ns: 2.560769 ns/iter
Counted to 2,700 in 6,996 ns: 2.591111 ns/iter
Counted to 2,800 in 9,856 ns: 3.520000 ns/iter
Counted to 2,900 in 3,142 ns: 1.083448 ns/iter
Counted to 3,000 in 3,172 ns: 1.057333 ns/iter
Counted to 3,100 in 2,868 ns: 0.925161 ns/iter
Counted to 3,200 in 8,042 ns: 2.513125 ns/iter
Counted to 3,300 in 3,066 ns: 0.929091 ns/iter
Counted to 3,400 in 3,078 ns: 0.905294 ns/iter
Counted to 3,500 in 9,735 ns: 2.781429 ns/iter
Counted to 3,600 in 3,162 ns: 0.878333 ns/iter
Counted to 3,700 in 3,492 ns: 0.943784 ns/iter
Counted to 3,800 in 3,131 ns: 0.823947 ns/iter
Counted to 3,900 in 8,803 ns: 2.257179 ns/iter
Counted to 4,000 in 3,703 ns: 0.925750 ns/iter
Counted to 4,100 in 5,039 ns: 1.229024 ns/iter
Counted to 4,200 in 5,237 ns: 1.246905 ns/iter
Counted to 4,300 in 3,533 ns: 0.821628 ns/iter
Counted to 4,400 in 3,613 ns: 0.821136 ns/iter
Counted to 4,500 in 10,709 ns: 2.379778 ns/iter
Counted to 4,600 in 4,572 ns: 0.993913 ns/iter
Counted to 4,700 in 3,850 ns: 0.819149 ns/iter
Counted to 4,800 in 3,636 ns: 0.757500 ns/iter
Counted to 4,900 in 3,848 ns: 0.785306 ns/iter
Counted to 5,000 in 3,914 ns: 0.782800 ns/iter
Counted to 5,100 in 5,700 ns: 1.117647 ns/iter
Counted to 5,200 in 5,038 ns: 0.968846 ns/iter
Counted to 5,300 in 3,969 ns: 0.748868 ns/iter
Counted to 5,400 in 4,704 ns: 0.871111 ns/iter
Counted to 5,500 in 14,358 ns: 2.610545 ns/iter
Counted to 5,600 in 4,183 ns: 0.746964 ns/iter
Counted to 5,700 in 13,197 ns: 2.315263 ns/iter
Counted to 5,800 in 4,255 ns: 0.733621 ns/iter
Counted to 5,900 in 4,819 ns: 0.816780 ns/iter
Counted to 6,000 in 4,253 ns: 0.708833 ns/iter
Counted to 6,100 in 4,575 ns: 0.750000 ns/iter
Counted to 6,200 in 12,691 ns: 2.046935 ns/iter
Counted to 6,300 in 13,731 ns: 2.179524 ns/iter
Counted to 6,400 in 4,322 ns: 0.675312 ns/iter
Counted to 6,500 in 18,474 ns: 2.842154 ns/iter
Counted to 6,600 in 4,477 ns: 0.678333 ns/iter
Counted to 6,700 in 15,103 ns: 2.254179 ns/iter
Counted to 6,800 in 4,794 ns: 0.705000 ns/iter
Counted to 6,900 in 5,663 ns: 0.820725 ns/iter
Counted to 7,000 in 5,025 ns: 0.717857 ns/iter
Counted to 7,100 in 5,037 ns: 0.709437 ns/iter
Counted to 7,200 in 4,759 ns: 0.660972 ns/iter
Counted to 7,300 in 16,710 ns: 2.289041 ns/iter
Counted to 7,400 in 5,185 ns: 0.700676 ns/iter
Counted to 7,500 in 5,413 ns: 0.721733 ns/iter
Counted to 7,600 in 20,201 ns: 2.658026 ns/iter
Counted to 7,700 in 5,723 ns: 0.743247 ns/iter
Counted to 7,800 in 6,573 ns: 0.842692 ns/iter
Counted to 7,900 in 15,284 ns: 1.934684 ns/iter
Counted to 8,000 in 5,319 ns: 0.664875 ns/iter
Counted to 8,100 in 5,180 ns: 0.639506 ns/iter
Counted to 8,200 in 17,316 ns: 2.111707 ns/iter
Counted to 8,300 in 5,346 ns: 0.644096 ns/iter
Counted to 8,400 in 22,793 ns: 2.713452 ns/iter
Counted to 8,500 in 5,504 ns: 0.647529 ns/iter
Counted to 8,600 in 5,583 ns: 0.649186 ns/iter
Counted to 8,700 in 5,499 ns: 0.632069 ns/iter
Counted to 8,800 in 5,862 ns: 0.666136 ns/iter
Counted to 8,900 in 6,195 ns: 0.696067 ns/iter
Counted to 9,000 in 18,025 ns: 2.002778 ns/iter
Counted to 9,100 in 14,090 ns: 1.548352 ns/iter
Counted to 9,200 in 6,118 ns: 0.665000 ns/iter
Counted to 9,300 in 5,680 ns: 0.610753 ns/iter
Counted to 9,400 in 7,848 ns: 0.834894 ns/iter
Counted to 9,500 in 6,946 ns: 0.731158 ns/iter
Counted to 9,600 in 6,095 ns: 0.634896 ns/iter
Counted to 9,700 in 21,568 ns: 2.223505 ns/iter
Counted to 9,800 in 6,153 ns: 0.627857 ns/iter
Counted to 9,900 in 6,260 ns: 0.632323 ns/iter
